name,smiles,QED,caco2,hia,f20,f30,f50,PPB,BSEP,hERG,hERG-10um,DILI,Ames,Carcinogenicity,Respiratory,H-HT,Neurotoxicity-DI,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,NR-AhR,SR-p53,logS,logP,logD,MW,TPSA,Lipinski,alkylated,composite_tox
7-Keto-DHEA,C[C@]12CC[C@H](O)CC1=CC(=O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.748,-0.4532489777969318,0.7104873657226562,0.2952613830566406,0.31173890829086304,0.9074626043438913,0.6790225993176028,0.9995577931404114,0.10497859120368958,0.3489733636379242,0.4700980484485626,0.650582492351532,0.8868792057037354,0.6826611757278442,0.6650947332382202,0.750137448310852,0.5560494065284729,0.529718279838562,0.8719038367271423,0.860477089881897,0.7858452200889587,0.5412890315055847,0.905993103981018,0.7018877863883972,0.17825953662395477,0.3358561173081398,0.492272436618805,-3.906747673774035,1.7894918244497615,2.1426430086056465,302.19,54.37,0,False,0.6094935602611966
11β-Methyl-19-nortestosterone,C[C@H]1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]2CCC3=CC(=O)CC[C@@H]3[C@H]21,0.737,-0.4529612323539309,0.11660456657409668,0.4161914587020874,0.8990466818213463,0.9753547925502062,0.8658067984317367,0.991287648677826,0.4822993278503418,0.2377823442220688,0.2285175770521164,0.34340786933898926,0.9066332578659058,0.534130871295929,0.6758515238761902,0.9276417642831802,0.40437063574790955,0.2583405375480652,0.3912111520767212,0.9993017911911012,0.9992092847824096,0.5524044036865234,0.9967768788337708,0.9060001373291016,0.12191702611744404,0.7193174678832293,0.40999847650527954,-3.5810165060001276,3.5600038049071143,3.468790755892295,288.21,37.3,0,False,0.5131415161821578
17α-Methylepithiostanol (Epistane),C[C@]12C[C@H]3S[C@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0.642,-0.4559619215673583,0.981450080871582,0.8647446632385254,0.4887151718139648,0.935467891395092,0.9539935027123128,0.993770182132721,0.10836750268936156,0.5013171434402466,0.5744045972824097,0.3859192430973053,0.9221408367156982,0.8372128009796143,0.7287108898162842,0.25174446403980255,0.4162715673446655,0.8296114802360535,0.38187775015830994,0.9838213920593262,0.9698549509048462,0.32190021872520447,0.9957017302513124,0.9835401177406312,0.6495924293994904,0.11593509465456008,0.8599647879600525,-5.585572189211188,4.7991121899708356,4.303413914668813,320.22,20.23,0,True,0.5110053701533211
19-Norandrostenediol,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@H]43)[C@@H]1CC[C@@H]2O,0.667,-0.4859917575760903,0.121384859085083,0.9666392728686332,0.8964774385094643,0.993590311612934,0.6662708999970107,0.8788625001907349,0.47945696860551834,0.2568627595901489,0.10193883627653122,0.28020453453063965,0.8811192512512207,0.6720585823059082,0.6404198408126831,0.4892165586352348,0.2339247763156891,0.3928583562374115,0.24446362629532817,0.9746461510658264,0.9810106158256532,0.21930719912052157,0.9955381751060486,0.9944544434547424,0.3396535664796829,0.5875272676348686,0.657906174659729,-4.690202408144735,4.279641682553317,4.119563709406373,276.21,40.46,0,False,0.41595586099558407
19-Norandrostenedione,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CCC2=O,0.674,-0.4428039021382226,0.10927915573120116,0.1725481152534485,0.63041952252388,0.4703325629234314,0.9394455839698465,0.9990056157112122,0.8136048167943954,0.29329246282577515,0.4478358328342438,0.4662555158138275,0.89122074842453,0.6421381831169128,0.7126657366752625,0.4664953052997589,0.6938089728355408,0.3420121967792511,0.741579532623291,0.9995113611221312,0.9999148845672609,0.4565709829330444,0.9999371767044068,0.9978646636009216,0.2654369454830885,0.13233110075816512,0.4321801364421845,-3.7803955724609337,3.0859524969604575,3.199358873044168,272.18,34.14,0,False,0.6194976286755668
"Androst-4-ene-3,11,17-trione (Adrenosterone)",C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)C(=O)CC[C@@H]12,0.69,-0.4360063866662265,0.3622770309448242,0.637962818145752,0.15246039628982544,0.555916965007782,0.8855197549570009,0.9997047781944276,0.6652294099330902,0.3435426950454712,0.489695817232132,0.5018842816352844,0.8564066886901855,0.4787636697292328,0.7158083319664001,0.8740648031234741,0.7531261444091797,0.5810317397117615,0.9906127452850342,0.9978615641593932,0.9777665138244628,0.39327049255371094,0.9652693867683412,0.318582683801651,0.12155240401625632,0.1191368605941534,0.13201533257961273,-3.834343988165529,1.6914761437385517,1.9953802004796124,300.17,51.21,0,False,0.7142066624429491
Androstanolone (DHT),C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.733,-0.4545920336750162,0.1955270767211914,0.9807799570262432,0.8959375694394112,0.9637102596461772,0.8526132189672883,0.9823195338249208,0.1101616621017456,0.4294073283672333,0.16832390427589417,0.37087833881378174,0.9275422692298888,0.7000395655632019,0.6028426289558411,0.22165003418922424,0.2159193456172943,0.3918328583240509,0.5665561556816101,0.9915327429771424,0.9955639839172364,0.1443639099597931,0.997905731201172,0.996871292591095,0.13025043532252312,0.58919508010149,0.5831937193870544,-4.1031452328575035,3.772521323555644,3.7363575509671274,290.22,37.3,0,False,0.39730079968770343
Androstenediol,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.668,-0.481623983010691,0.2232193946838379,0.8968978002667427,0.6303489506244659,0.9961775247938932,0.7570321835141243,0.9531615376472472,0.8441580832004547,0.42280063033103943,0.11088918149471284,0.23961278796195984,0.9575764536857604,0.8032394051551819,0.6540142297744751,0.12983925640583038,0.1512141227722168,0.39737144112586975,0.656857043504715,0.94164776802063,0.9574080109596252,0.1824339330196381,0.9946942925453186,0.9966520667076112,0.4614664986729622,0.4774560686200857,0.6068804860115051,-4.621999144319097,4.272734361478608,4.04547767511623,290.22,40.46,0,False,0.4601702888806661
Androstenedione,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.672,-0.4401599978719139,0.5146265029907227,0.17154157161712646,0.2875838279724121,0.5861324071884155,0.9324616728361071,0.9999256134033204,0.1209469586610794,0.49690893292427063,0.31966981291770935,0.3811768889427185,0.8633577823638916,0.6237602829933167,0.6794752478599548,0.7586085200309753,0.5205958485603333,0.3457675576210022,0.904261589050293,0.9999054670333862,0.9999210834503174,0.3624744415283203,0.999810755252838,0.9898422360420228,0.20889739971607924,0.29056475032120943,0.16396713256835938,-4.022400567797542,2.475536688461526,2.69255637490348,286.19,34.14,0,False,0.5437622451119952
Bolasterone,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,0.713,-0.4505431943631654,0.5098581314086914,0.31713390350341797,0.14582949876785278,0.6648532450199127,0.9390089236826328,0.9922212958335876,0.7307925820350647,0.2950080931186676,0.16905921697616577,0.3790939450263977,0.945418655872345,0.7503511905670166,0.8018911480903625,0.36450618505477905,0.371888130903244,0.6799624562263489,0.713884711265564,0.999126136302948,0.9979300498962402,0.5452616810798645,0.9969769716262816,0.9223704934120178,0.3620313107967377,0.21077018231153488,0.6133582592010498,-3.5010310564593894,3.20098062025264,3.2002050702746443,316.24,37.3,0,True,0.5729441146055857
Boldenone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@H]2O,0.738,-0.4872436692978519,0.22410154342651367,0.9348505139350892,0.7539568245410919,0.99061365891248,0.8130763870726292,0.9926785230636596,0.18166986107826233,0.5698786377906799,0.9264467656612396,0.32714125514030457,0.9762994647026062,0.9654560089111328,0.7556105256080627,0.3505778908729553,0.17297649383544922,0.2974594235420227,0.8596619367599487,0.99982750415802,0.9996991157531738,0.42577946186065674,0.9993545413017272,0.9965582489967346,0.1333707827143371,0.778960483148694,0.4143024682998657,-4.352499528529727,3.2941980836834,3.322107922042197,286.19,37.3,0,False,0.5386492908000946
Boldione,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.677,-0.49320442436309175,0.6039142608642578,0.7407760620117188,0.3331202268600464,0.6789551973342896,0.8944251952403084,0.999941349029541,0.15183182060718536,0.5079373121261597,0.22057081758975983,0.3681994378566742,0.9244373440742492,0.9109897017478944,0.6799533367156982,0.6798276901245117,0.2100478708744049,0.256414532661438,0.9636735916137696,0.9998169541358948,0.9994396567344666,0.6151708960533142,0.9994230270385742,0.9882004261016846,0.113311770837754,0.24480663239955905,0.8398067951202393,-3.958838602736151,2.3115518121220577,2.5741776355925694,284.18,34.14,0,False,0.494995160235299
Calusterone,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,0.713,-0.4505431943631654,0.5098581314086914,0.31713390350341797,0.14582949876785278,0.6648532450199127,0.9390089236826328,0.9922212958335876,0.7307925820350647,0.2950080931186676,0.16905921697616577,0.3790939450263977,0.945418655872345,0.7503511905670166,0.8018911480903625,0.36450618505477905,0.371888130903244,0.6799624562263489,0.713884711265564,0.999126136302948,0.9979300498962402,0.5452616810798645,0.9969769716262816,0.9223704934120178,0.3620313107967377,0.21077018231153488,0.6133582592010498,-3.5010310564593894,3.20098062025264,3.2002050702746443,316.24,37.3,0,True,0.5729441146055857
Clostebol,C[C@]12CC[C@H]3[C@@H](CCC4=C(Cl)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.715,-0.4474155285129689,0.1576542854309082,0.6842082142829895,0.6746542751789093,0.984045946970582,0.8189578636542382,0.9878837466239928,0.9296289831399918,0.501068115234375,0.7557706534862518,0.6795687675476074,0.9670284390449524,0.9939383268356324,0.8221547603607178,0.3179204761981964,0.5930637717247009,0.3116276264190674,0.5093989968299866,0.997112512588501,0.9976365566253662,0.2292214334011078,0.9994643330574036,0.998263418674469,0.1671902253292501,0.975980656221509,0.8479573726654053,-5.26484222377942,4.222165932972624,3.94848345817832,322.17,37.3,0,False,0.6540180527501636
Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.721,-0.4680993928410015,0.14305114746,0.15053749084472656,0.25884509086608887,0.8978881686925888,0.9741849530065412,0.9999560117721558,0.12545931339263916,0.5901474356651306,0.9186896085739136,0.1540609747171402,0.8772475123405457,0.9998342990875244,0.8842071890830994,0.574093222618103,0.32221805304288864,0.8234869837760925,0.8884937763214111,0.995924472808838,0.998017430305481,0.6932553648948669,0.9985539317131042,0.9958552718162536,0.13377397553995252,0.26326205115765333,0.1533970832824707,-5.2593070152388135,3.6251292879681896,3.633890539678438,337.2,46.26,0,True,0.6186618482073148
