name,smiles,QED,caco2,hia,f20,f30,f50,PPB,BSEP,hERG,hERG-10um,DILI,Ames,Carcinogenicity,Respiratory,H-HT,Neurotoxicity-DI,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,NR-AhR,SR-p53,logS,logP,logD,MW,TPSA,Lipinski,alkylated,composite_tox,pgp_inh,pgp_sub,OATP1B1,OATP1B3,BBB,CYP3A4-sub,CYP3A4-inh,t0.5,cl-plasma,Fu_pct
7-Keto-DHEA,C[C@]12CC[C@H](O)CC1=CC(=O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.748,-4.532489777969318,0.7104873657226562,0.2952613830566406,0.311738908290863,0.9074626043438913,0.6790225993176029,0.9995577931404114,0.1049785912036895,0.3489733636379242,0.4700980484485626,0.650582492351532,0.8868792057037354,0.6826611757278442,0.6650947332382202,0.750137448310852,0.5560494065284729,0.529718279838562,0.8719038367271423,0.860477089881897,0.7858452200889587,0.5412890315055847,0.905993103981018,0.7018877863883972,0.1782595366239547,0.3358561173081398,0.492272436618805,-3.906747673774035,1.7894918244497615,2.1426430086056465,302.19,54.37,0,False,0.6094935602611966,0.9396334886550904,0.41363914497196674,0.9971503615379332,0.9995369911193848,0.3786907717585564,0.997368335723877,0.12815489899367094,1.2500812585115773,1.25115299823359,34.793828221334664
11β-Methyl-19-nortestosterone,C[C@H]1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]2CCC3=CC(=O)CC[C@@H]3[C@H]21,0.737,-4.529612323539308,0.1166045665740966,0.4161914587020874,0.8990466818213463,0.9753547925502062,0.8658067984317367,0.991287648677826,0.4822993278503418,0.2377823442220688,0.2285175770521164,0.3434078693389892,0.9066332578659058,0.534130871295929,0.6758515238761902,0.9276417642831802,0.4043706357479095,0.2583405375480652,0.3912111520767212,0.9993017911911012,0.9992092847824096,0.5524044036865234,0.9967768788337708,0.9060001373291016,0.121917026117444,0.7193174678832293,0.4099984765052795,-3.581016506000128,3.5600038049071143,3.468790755892295,288.21,37.3,0,False,0.5131415161821578,0.951910674571991,0.9837902337312698,0.9992479681968688,0.992699921131134,0.1937766820192337,0.999996304512024,0.6458634976297617,1.8134308210395993,1.712315545101267,12.222888459281656
17α-Methylepithiostanol (Epistane),C[C@]12C[C@H]3S[C@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0.642,-4.5596192156735835,0.981450080871582,0.8647446632385254,0.4887151718139648,0.935467891395092,0.9539935027123128,0.993770182132721,0.1083675026893615,0.5013171434402466,0.5744045972824097,0.3859192430973053,0.9221408367156982,0.8372128009796143,0.7287108898162842,0.2517444640398025,0.4162715673446655,0.8296114802360535,0.3818777501583099,0.9838213920593262,0.9698549509048462,0.3219002187252044,0.9957017302513124,0.9835401177406312,0.6495924293994904,0.11593509465456,0.8599647879600525,-5.585572189211188,4.799112189970836,4.303413914668813,320.22,20.23,0,True,0.5110053701533211,0.6589061617851257,0.34238332509994507,0.8253995180130005,0.1200479343533516,0.11424601078033449,0.998258650302887,0.22277552634477615,7.969060276501896,1.081001564681486,38.93238279991974
19-Norandrostenediol,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@H]43)[C@@H]1CC[C@@H]2O,0.667,-4.859917575760903,0.121384859085083,0.9666392728686332,0.8964774385094643,0.993590311612934,0.6662708999970107,0.8788625001907349,0.4794569686055183,0.2568627595901489,0.1019388362765312,0.2802045345306396,0.8811192512512207,0.6720585823059082,0.6404198408126831,0.4892165586352348,0.2339247763156891,0.3928583562374115,0.2444636262953281,0.9746461510658264,0.9810106158256532,0.2193071991205215,0.9955381751060486,0.9944544434547424,0.3396535664796829,0.5875272676348686,0.657906174659729,-4.690202408144735,4.279641682553317,4.119563709406373,276.21,40.46,0,False,0.415955860995584,0.2874051034450531,0.95319402217865,0.893443763256073,0.6328180432319641,0.8595642447471619,0.829372766,0.1134905032813549,1.888046681010882,1.4887609818873702,29.848790316971424
19-Norandrostenedione,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CCC2=O,0.674,-4.428039021382226,0.1092791557312011,0.1725481152534485,0.63041952252388,0.4703325629234314,0.9394455839698465,0.9990056157112122,0.8136048167943954,0.2932924628257751,0.4478358328342438,0.4662555158138275,0.89122074842453,0.6421381831169128,0.7126657366752625,0.4664953052997589,0.6938089728355408,0.3420121967792511,0.741579532623291,0.9995113611221312,0.9999148845672609,0.4565709829330444,0.9999371767044068,0.9978646636009216,0.2654369454830885,0.1323311007581651,0.4321801364421845,-3.7803955724609337,3.085952496960457,3.199358873044168,272.18,34.14,0,False,0.6194976286755668,0.9882304668426514,0.22490795701742172,0.99933260679245,0.9981018900871276,0.11370860040187836,0.9999998807907104,0.12693578377366066,9.31600878799466,1.1292292371823802,74.9619586453744
"Androst-4-ene-3,11,17-trione (Adrenosterone)",C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)C(=O)CC[C@@H]12,0.69,-4.360063866662265,0.3622770309448242,0.637962818145752,0.1524603962898254,0.555916965007782,0.8855197549570009,0.9997047781944276,0.6652294099330902,0.3435426950454712,0.489695817232132,0.5018842816352844,0.8564066886901855,0.4787636697292328,0.7158083319664001,0.8740648031234741,0.7531261444091797,0.5810317397117615,0.9906127452850342,0.9978615641593932,0.9777665138244628,0.3932704925537109,0.9652693867683412,0.318582683801651,0.1215524040162563,0.1191368605941534,0.1320153325796127,-3.834343988165529,1.6914761437385517,1.9953802004796124,300.17,51.21,0,False,0.7142066624429491,0.9837574362754822,0.558467407245189,0.9998794794082642,0.9999748468399048,0.5654673650860786,0.9999953508377076,0.11384825920686126,9.270567553878417,1.1452257938845185,11.965162428455974
Androstanolone (DHT),C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.733,-4.545920336750163,0.1955270767211914,0.9807799570262432,0.8959375694394112,0.9637102596461772,0.8526132189672883,0.9823195338249208,0.1101616621017456,0.4294073283672333,0.1683239042758941,0.3708783388137817,0.9275422692298888,0.7000395655632019,0.6028426289558411,0.2216500341892242,0.2159193456172943,0.3918328583240509,0.5665561556816101,0.9915327429771424,0.9955639839172364,0.1443639099597931,0.997905731201172,0.996871292591095,0.1302504353225231,0.58919508010149,0.5831937193870544,-4.103145232857504,3.772521323555644,3.736357550967128,290.22,37.3,0,False,0.3973007996877034,0.8820110559463501,0.2376992404460907,0.46224185824394226,0.3261231482028961,0.25714412331581116,0.9915367364883424,0.6028554402291775,1.7156737486300495,1.691086475458762,15.965396888975828
Androstenediol,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.668,-4.81623983010691,0.2232193946838379,0.8968978002667427,0.6303489506244659,0.9961775247938932,0.7570321835141243,0.9531615376472472,0.8441580832004547,0.4228006303310394,0.1108891814947128,0.2396127879619598,0.9575764536857604,0.8032394051551819,0.6540142297744751,0.1298392564058303,0.1512141227722168,0.3973714411258697,0.656857043504715,0.94164776802063,0.9574080109596252,0.1824339330196381,0.9946942925453186,0.9966520667076112,0.4614664986729622,0.4774560686200857,0.6068804860115051,-4.621999144319097,4.272734361478608,4.04547767511623,290.22,40.46,0,False,0.4601702888806661,0.5587989687919617,0.836739182472229,0.9961403012275696,0.9732552766799928,0.929343044757843,0.191445578821,0.5846365820616484,1.7662132542269544,1.775886362638491,21.63898031052027
Androstenedione,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.672,-4.401599978719139,0.5146265029907227,0.1715415716171264,0.2875838279724121,0.5861324071884155,0.9324616728361071,0.9999256134033204,0.1209469586610794,0.4969089329242706,0.3196698129177093,0.3811768889427185,0.8633577823638916,0.6237602829933167,0.6794752478599548,0.7586085200309753,0.5205958485603333,0.3457675576210022,0.904261589050293,0.9999054670333862,0.9999210834503174,0.3624744415283203,0.999810755252838,0.9898422360420228,0.2088973997160792,0.2905647503212094,0.1639671325683593,-4.022400567797542,2.475536688461526,2.69255637490348,286.19,34.14,0,False,0.5437622451119952,0.998158037662506,0.40986997191794217,0.999777376651764,0.9998843669891356,0.1886705681681633,0.9999992847442628,0.10797114111483096,5.508615538606614,9.910896356498991,65.46968328875268
Bolasterone,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,0.713,-4.505431943631654,0.5098581314086914,0.3171339035034179,0.1458294987678527,0.6648532450199127,0.9390089236826327,0.9922212958335876,0.7307925820350647,0.2950080931186676,0.1690592169761657,0.3790939450263977,0.945418655872345,0.7503511905670166,0.8018911480903625,0.364506185054779,0.371888130903244,0.6799624562263489,0.713884711265564,0.999126136302948,0.9979300498962402,0.5452616810798645,0.9969769716262816,0.9223704934120178,0.3620313107967377,0.2107701823115348,0.6133582592010498,-3.5010310564593894,3.20098062025264,3.2002050702746443,316.24,37.3,0,True,0.5729441146055857,0.6759138107299805,0.9887849539518356,0.9984450936317444,0.9880934357643129,0.5941259115934372,0.9999998807907104,0.1091085560619831,8.360932815775874,1.11994348406844,60.4915544743916
Boldenone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@H]2O,0.738,-4.8724366929785194,0.2241015434265136,0.9348505139350892,0.7539568245410919,0.99061365891248,0.8130763870726292,0.9926785230636596,0.1816698610782623,0.5698786377906799,0.9264467656612396,0.3271412551403045,0.9762994647026062,0.9654560089111328,0.7556105256080627,0.3505778908729553,0.1729764938354492,0.2974594235420227,0.8596619367599487,0.99982750415802,0.9996991157531738,0.4257794618606567,0.9993545413017272,0.9965582489967346,0.1333707827143371,0.778960483148694,0.4143024682998657,-4.352499528529727,3.2941980836834,3.322107922042197,286.19,37.3,0,False,0.5386492908000946,0.8522313833236694,0.8979175239801407,0.6572709083557129,0.7252137660980225,0.9995734095573424,0.802396908402443,0.6557598244398832,1.6174503069535304,1.3806657779096445,20.090482335133036
Boldione,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.677,-4.932044243630917,0.6039142608642578,0.7407760620117188,0.3331202268600464,0.6789551973342896,0.8944251952403084,0.999941349029541,0.1518318206071853,0.5079373121261597,0.2205708175897598,0.3681994378566742,0.9244373440742492,0.9109897017478944,0.6799533367156982,0.6798276901245117,0.2100478708744049,0.256414532661438,0.9636735916137696,0.9998169541358948,0.9994396567344666,0.6151708960533142,0.9994230270385742,0.9882004261016846,0.113311770837754,0.244806632399559,0.8398067951202393,-3.958838602736151,2.3115518121220577,2.5741776355925694,284.18,34.14,0,False,0.494995160235299,0.9971701502799988,0.38819489418528974,0.9996078610420228,0.9998749494552612,0.2277623675763607,0.9999440908432008,0.2130367010831833,9.83144706079099,1.0476735500225722,11.106864364094418
Calusterone,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,0.713,-4.505431943631654,0.5098581314086914,0.3171339035034179,0.1458294987678527,0.6648532450199127,0.9390089236826327,0.9922212958335876,0.7307925820350647,0.2950080931186676,0.1690592169761657,0.3790939450263977,0.945418655872345,0.7503511905670166,0.8018911480903625,0.364506185054779,0.371888130903244,0.6799624562263489,0.713884711265564,0.999126136302948,0.9979300498962402,0.5452616810798645,0.9969769716262816,0.9223704934120178,0.3620313107967377,0.2107701823115348,0.6133582592010498,-3.5010310564593894,3.20098062025264,3.2002050702746443,316.24,37.3,0,True,0.5729441146055857,0.6759138107299805,0.9887849539518356,0.9984450936317444,0.9880934357643129,0.5941259115934372,0.9999998807907104,0.1091085560619831,8.360932815775874,1.11994348406844,60.4915544743916
Clostebol,C[C@]12CC[C@H]3[C@@H](CCC4=C(Cl)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.715,-4.474155285129689,0.1576542854309082,0.6842082142829895,0.6746542751789093,0.984045946970582,0.8189578636542382,0.9878837466239928,0.9296289831399918,0.501068115234375,0.7557706534862518,0.6795687675476074,0.9670284390449524,0.9939383268356324,0.8221547603607178,0.3179204761981964,0.5930637717247009,0.3116276264190674,0.5093989968299866,0.997112512588501,0.9976365566253662,0.2292214334011078,0.9994643330574036,0.998263418674469,0.1671902253292501,0.975980656221509,0.8479573726654053,-5.26484222377942,4.222165932972624,3.94848345817832,322.17,37.3,0,False,0.6540180527501636,0.76718670129776,0.11319076269865036,0.9873065948486328,0.9939591884613036,0.9738321900367736,0.5449007749557495,0.28444090858101845,1.445437434260628,1.34107188675037,14.739780691257492
Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.721,-4.670672341611185,0.0008235573768615,2.6226043701171875e-06,2.1219253540039062e-05,0.0944706797599792,0.9734238904451848,0.9999948740005492,0.9869022369384766,0.8267067074775696,0.0142092881724238,0.1341283023357391,0.93364155292511,0.973942756652832,0.9123857617378236,0.0459003634750843,0.0123859662562608,0.0006251926533877,0.9532315135002136,0.9662653803825378,0.9866602420806884,0.7520748376846313,0.9986762404441832,0.9952955842018129,0.135599672794342,0.03440872579813,0.7632449865341187,-5.216013235507287,3.914121624200946,3.6566074776798736,337.2,46.26,0,True,0.4437122419993911,0.0011256234720349312,1.7956774627236882e-06,1.0,1.0,0.007906300015747547,0.676617443561554,0.7183210849761963,1.1910128023571547,2.2453428930924932,1.7974458403956002
Dehydrochlormethyltestosterone (Oral Turinabol),C[C@]12C=CC(=O)C(Cl)=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0.702,-4.919138391240798,0.2155423164367676,0.5608548820018768,0.2363762855529785,0.7970617264509201,0.9679519549432443,0.9988611936569214,0.4991415143013001,0.2726082801818847,0.6894521415233612,0.6285092234611511,0.9750468730926514,0.9945717453956604,0.8528284430503845,0.2828579246997833,0.2655006051063537,0.5596423149108887,0.8571831583976746,0.9988682270050048,0.995937705039978,0.7214833498001099,0.999283254146576,0.9983822107315063,0.1065595890395343,0.1584867760539055,0.774857759475708,-4.295849123806727,3.294615745315037,3.3584151450176085,334.17,37.3,0,True,0.6233513553937277,0.35487720370292664,0.5153746530413628,0.6408942937850952,0.184879407286644,0.330138236284256,0.9991922974586488,0.4672495722770691,7.73095249215845,9.412979388430667,21.95360103057773
Desoxymethyltestosterone,C[C@]12CC=CC[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0.626,-4.495863732039462,0.3187239170074463,0.9834418930113316,0.6515733599662781,0.8556602746248245,0.959018479178906,0.9960761666297911,0.3769830986857414,0.1647913455963134,0.7212988287210464,0.1838790327310562,0.967514157295227,0.7650511860847473,0.6123213768005371,0.1197278201580047,0.5312499403953552,0.7332544922828674,0.9627800434827803,0.9789854288101196,0.9797722101211548,0.2497146427631378,0.9973306655883788,0.9943535327911376,0.3354629129171371,0.1161942165344953,0.4454174339771271,-5.31548308181612,4.85976964454334,4.254755575500388,288.25,20.23,0,True,0.5787787545058463,0.8844346404075623,0.2942206561565399,0.5056488513946533,0.3898856043815613,0.9238872677087784,0.7797638773918152,0.7612303830683231,4.730271013985254,9.428538037525724,45.83773632516692
Dimethandrolone,C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@@H]2[C@@H]1[C@@H]1CC[C@H](O)[C@@]1(C)C[C@@H]2C,0.735,-4.722856913685057,0.1793861389160156,0.5931085348129272,0.1471684575080871,0.4930893182754516,0.87567697933631,0.995520830154419,0.4979131370782852,0.2341194897890091,0.4298090040683746,0.6753103137016296,0.7609316110610962,0.7982453107833862,0.5266794562339783,0.5496756434440613,0.8298159837722778,0.6887375116348267,0.9169908165931702,0.9887093901634216,0.9488144516944884,0.3217534720897674,0.9802510142326356,0.4895815551280975,0.6696180254220963,0.2822092734277248,0.3520195186138153,-2.9825991347204126,2.5034153017794027,2.730563533532522,302.22,37.3,0,False,0.6528737197319666,0.3691706359386444,0.5204297602176666,0.3289271593093872,0.1931624673306942,0.3613651990890503,0.9223819375038148,0.1156461238861084,1.2404289564131814,1.2975557257293813,10.931253491932347
Drostanolone,C[C@@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]32)CC1=O,0.728,-4.597864460099421,0.1488924026489257,0.8557426035404205,0.3403517603874206,0.8899804949760437,0.8960414685001468,0.9992039799690248,0.6739696860313416,0.2696269154548645,0.1986162066459656,0.4644487798213959,0.863807201385498,0.7292999029159546,0.5154774785041809,0.2167932838201522,0.3647825717926025,0.6161924004554749,0.6957525610923767,0.9873837828636168,0.9909488558769226,0.2897551357746124,0.9939653277397156,0.9730563759803772,0.3142074868083,0.1537705492228269,0.556428074836731,-3.67828164063288,2.969931539174644,3.1772175542798973,304.24,37.3,0,False,0.5122044632832209,0.9858303666114808,0.7299295663833618,0.6148143410682678,0.44507139921188354,0.45882951468229294,0.8985520601272583,0.17715126741677523,1.2186785969087026,1.482995708356389,13.237533108179653
