,cons_CYP,cons_SRD5A,cons_UGT2B7,cons_CYP19A1,cons_HSD17B,cons_AR,cons_SHBG,Det,EI,Det_swiss,diff,Class
4-Hydroxytestosterone,0.23646424800373225,0.3842601135885937,0.0,0.49174491458562875,0.13735456074387023,0.7598499753889605,0.6924873149254813,0.2618912893397425,0.6860201650892505,0.17633255510890555,0.08555873423083693,II
5-Androstenedione,0.19930012781680853,0.5162051799737091,0.0,0.7581949392574554,0.16347147523860048,0.6107976292823994,0.4943073697547309,0.3347629743587932,0.6053300134191101,0.23417963612855,0.10058333823024321,II
7-Keto-DHEA,0.1920697166172901,0.4078587484501732,0.0,0.7204568009215205,0.15679716681663583,0.5382534805006077,0.6061278512572701,0.29412329050926617,0.595056455811789,0.1167720506853,0.17735123982396617,II
7α-Hydroxy-DHEA,0.16985776554823692,0.4022649797686423,0.0,0.649737375652322,0.0,0.6156678745737338,0.6068605180329996,0.26060454166550023,0.6198395678272313,0.09738300770488889,0.16322153396061134,II
7β-Hydroxy-DHEA,0.16915555554248138,0.4022649797686423,0.0,0.643417485600522,0.0,0.6156678745737338,0.6005394602741996,0.25948100565629134,0.6166792724892312,0.09176532765884443,0.1677156779974469,II
"Androst-4-ene-3,11,17-trione",0.14209030434270137,0.6877627147665625,0.0,0.7096622184463512,0.21297860263210866,0.6851814034591548,0.6379625718865936,0.3695985835458076,0.6759119169848257,0.23894984813783887,0.13064873540796873,I
Androstanolone,0.1097587953838423,0.09787453432580001,0.35985936114622574,0.6252344294815787,0.2953944055155036,0.9439199726409042,1.0,0.2520985363467329,0.8970068722167678,0.26911160964685665,-0.01701307330012375,II
Androstenediol,0.3612524171245813,0.0,0.0,0.4291037929943279,0.13172992871669986,0.9089614366344068,0.9357664233576642,0.16785166610196448,0.8210314039233683,0.10414269056899444,0.06370897553297003,II
Androstenedione,0.21693082029762284,0.9450121654501216,0.0,0.9029207039722978,0.3112733171127332,0.9032583411762538,0.9338199513381996,0.5043017920165601,0.9123592967840464,0.5266434669755833,-0.022341674959023172,I
Bolasterone,0.3033970451545314,0.5160427998318813,0.0,0.8237119698530144,0.17104448759173138,0.9115875289538758,1.0,0.3713233454753226,0.9205361584475408,0.2277915577696389,0.14353178770568367,I
Boldenone,0.12249014437182937,0.3359867966986898,0.0,0.6759135537426649,0.03262484477526667,0.6948994926007706,0.8680139234074978,0.23606809264149067,0.7430366340711676,0.21312135961765,0.022946733023840676,II
Boldione,0.13801952125683112,0.4962927285400458,0.0,0.7973026216339492,0.17110811957012065,0.5971600017787323,0.513324358710362,0.320098904078326,0.6120378328292646,0.24353179386269444,0.07656711021563153,II
Calusterone,0.2796656122616365,0.5122073850986151,0.0,0.7856412671193663,0.13832226112825077,0.8789841226278418,0.9297684120103982,0.3552570347757237,0.8755508383409135,0.22601811281142775,0.12923892196429593,I
Clostebol,0.10946810161874741,0.33121875105818,0.0,0.46543863256459245,0.08169578806562207,0.6706254148244775,0.5012644109770384,0.20471802441339193,0.5787797572182688,0.07478994492933333,0.1299280794840586,II
Danazol,0.2582266749359923,0.0,0.0,0.37541777586947184,0.09364665711699599,0.9181528609809526,0.9805352798053528,0.13023400082611844,0.8283205696059766,0.027777777777777776,0.10245622304834066,III
Dehydrochlormethyltestosterone,0.11549504955902876,0.10900243309002434,0.0,0.48642901493705,0.0,0.5872834390887696,0.4496708314646676,0.13453884455732198,0.525828771971195,0.02384964436991111,0.11068920018741088,III
Desoxymethyltestosterone,0.21126669919940466,0.0,0.0,0.6789844649199994,0.0,0.7274966313203141,0.5546686618549741,0.15466434453785108,0.6659458072006491,0.14978597815054442,0.004878366387306654,II
Dimethandrolone,0.142901054344713,0.1693430656934307,0.0,0.5150952371781701,0.06493348286908517,0.6040947694107376,0.3631702782909537,0.17028581715784147,0.5140175156282889,0.033516600774666665,0.1367692163831748,II
Drostanolone,0.07516489983387468,0.11150186548,0.127302569502,0.5649822330248722,0.21631981828498228,0.7776113854497392,0.8436725979237372,0.18408161528509773,0.7549039187069652,0.23511790159388887,-0.051036286308791146,II
Epi-dihydrotestosterone,0.09570657463186452,0.09787453432580001,0.35657528672142574,0.5966389770395787,0.283858992351637,0.9251829137231042,0.9625258821644,0.2424858070910918,0.8706770169187878,0.23644880213044003,0.006037004960651765,II
Epiandrosterone,0.11719946056429402,0.09787453432580001,0.32044330275206523,0.7847221523779162,0.33328285722053336,0.9008445320126236,1.0,0.2737874945679673,0.907366696481895,0.2499640799335622,0.0238234146344051,II
Epitestosterone,0.26605381849290044,0.5376163721878209,0.0,0.6316523371130154,0.16868350573973903,0.9140490738202289,0.8934261254734024,0.3394145674204976,0.8513828419747382,0.25277493395610445,0.08663963346439313,II
Ethylestrenol,0.22453444912150658,0.0,0.09787453432580001,0.5205902257121918,0.0,0.7977768940725122,0.4131606024893791,0.1537970530023654,0.6269546729255082,0.19657602288392112,-0.04277896988155572,II
Fluoxymesterone,0.09507628724096051,0.0,0.104671941128,0.5281730398609968,0.0,0.9038489368345554,0.6110895197509976,0.12392941601498966,0.7408859323147763,0.06398472245906667,0.059944693555922995,III
Formebolone,0.13249406570591526,0.0,0.0,0.37906486260429995,0.0,0.49847217886717954,0.4435235370408088,0.0899832458171238,0.4581061230666924,0.03039856362573889,0.05958468219138491,III
Furazabol,0.05964287571113817,0.104671941128,0.0,0.170809885675459,0.03455642102306829,0.5424799911099947,0.18834079591592018,0.07538942621981021,0.3619042114648652,0.059314099972533334,0.016075326247276873,III
